variant,symbol,direction,entry_ts,entry_price,exit_ts,exit_price,pnl_pct,bars_held,exit_reason,funding_at_entry,support_level_price,target_lvn_price,nearest_lvn_distance_at_entry,hvn_distance_at_entry
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2023-12-22 00:00:00,2233.26,2023-12-23 00:00:00,2330.18,0.04239843994877435,96,time_stop,0.00042074,2228.0462500000003,2397.653125,154.41624999999976,5.213749999999891
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2023-12-22 08:00:00,43723.99,2023-12-23 08:00:00,43610.91,-0.003586223260960252,96,time_stop,0.00030806,43711.8875,44601.39791666667,699.5058333333363,12.102500000000873
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2023-12-26 00:00:00,43544.98,2023-12-27 00:00:00,42452.81,-0.026081421555366524,96,time_stop,0.00037908,43769.387500000004,44610.981250000004,897.6825000000026,-224.40750000000116
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2023-12-26 00:00:00,2270.65,2023-12-27 00:00:00,2228.81,-0.01942644176777586,96,time_stop,0.0004388,2249.14375,2398.8252083333336,119.3704166666671,21.50624999999991
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2023-12-27 04:00:00,2220.39,2023-12-28 00:30:00,2427.64,0.09233945838343705,82,lvn_target,0.00036888,2249.14375,2398.8252083333336,169.63041666666732,-28.75375000000031
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2023-12-27 20:30:00,43462.01,2023-12-28 20:30:00,42533.7,-0.02235911339581409,96,time_stop,0.00037942,43778.887500000004,44612.56458333334,983.8191666666753,-316.8775000000023
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2023-12-29 16:45:00,41971.24,2023-12-30 16:45:00,42406.97,0.009381632756144564,96,time_stop,0.00049912,41875.308333333334,44626.458333333336,2502.3766666666706,95.93166666666366
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2023-12-29 16:45:00,2298.53,2023-12-30 16:45:00,2310.19,0.004072807402992208,96,time_stop,0.00049499,2282.5566666666664,2437.3133333333335,120.57666666666637,15.973333333333812
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2023-12-30 20:45:00,42283.95,2023-12-31 20:45:00,42558.01,0.005481419072721595,96,time_stop,0.0004358,42081.4375,44629.418750000004,2195.5875000000087,202.5124999999971
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2023-12-30 20:45:00,2298.59,2023-12-31 20:45:00,2282.4,-0.008043448374873363,96,time_stop,0.00031443,2290.7385416666666,2438.1745833333334,122.23916666666628,7.8514583333335395
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-01-01 00:45:00,42475.23,2024-01-02 00:15:00,44609.79,0.04925423052447264,94,lvn_target,0.00033597,42338.67083333334,44650.84583333334,2047.1616666666741,136.559166666666
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2024-01-01 00:45:00,2295.51,2024-01-02 00:45:00,2387.58,0.0391087340068218,96,time_stop,0.00031621,2293.693125,2432.401875,113.77375000000029,1.8168750000004366
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-01-03 08:00:00,108.18,2024-01-04 08:00:00,98.83,-0.08743002403401745,96,time_stop,0.00032289,108.53812500000001,124.10725000000001,13.096500000000006,-0.35812500000000114
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-02-20 01:15:00,109.92,2024-02-21 01:15:00,107.69,-0.021287481804949104,96,time_stop,0.00031944,109.69852083333333,118.00622916666667,7.255458333333337,0.22147916666666845
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-02-23 16:45:00,100.43,2024-02-24 16:45:00,102.55,0.02010923030966827,96,time_stop,0.00032841,101.26564583333334,118.13414583333335,17.001291666666674,-0.8356458333333308
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-02-24 20:45:00,104.06,2024-02-25 20:45:00,103.64,-0.0050361330001922324,96,time_stop,0.00033132,104.451125,118.15195833333334,13.40691666666666,-0.3911250000000024
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-02-26 00:45:00,103.95,2024-02-27 00:45:00,110.77,0.06460846560846545,96,time_stop,0.00042645,104.14897916666666,117.66195833333335,12.53691666666667,-0.1989791666666605
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-02-27 12:45:00,110.01,2024-02-28 12:45:00,111.38,0.011453413326061201,96,time_stop,0.00060184,109.7218125,117.22843750000001,5.609875000000002,0.2881875000000065
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-02-28 17:30:00,111.11,2024-02-28 23:45:00,119.03,0.070280712807128,25,lvn_target,0.00040753,109.185625,117.22843750000001,4.509875000000008,1.9243749999999977
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-03-02 08:00:00,61918.51,2024-03-03 08:00:00,61460.26,-0.008400856383656508,96,time_stop,0.0004601,61969.40625,63833.88125,1449.252499999995,-50.89624999999796
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-03-03 12:00:00,62242.0,2024-03-04 07:45:00,64066.62,0.028314932039459006,79,lvn_target,0.00046267,61995.48958333333,63839.097916666666,1136.1958333333314,246.51041666667152
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-03-05 19:30:00,62330.0,2024-03-06 19:30:00,66821.11,0.07105374618963578,96,time_stop,0.00082969,61990.56458333333,68783.88958333334,5887.779166666674,339.43541666666715
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2024-03-05 19:45:00,3376.46,2024-03-06 08:00:00,3830.21,0.13338630992222622,49,lvn_target,0.00101724,3403.69125,3697.3949999999995,190.39999999999964,-27.231249999999818
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-03-07 12:00:00,66999.43,2024-03-08 12:00:00,67504.87,0.006543944776843725,96,time_stop,0.00030311,66566.77083333334,68793.35416666667,1237.27833333335,432.65916666665
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-03-08 16:15:00,66816.64,2024-03-09 16:15:00,68133.51,0.018708713278608458,96,time_stop,0.00043497,67483.02916666667,69761.24583333333,2375.0516666666663,-666.389166666675
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2024-03-14 21:00:00,3863.27,2024-03-15 21:00:00,3645.61,-0.05734087185208381,96,time_stop,0.00050365,3912.7362500000004,,,-49.4662500000004
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-03-15 03:15:00,67439.25,2024-03-16 03:15:00,69190.0,0.024960401398295473,96,time_stop,0.00038258,67201.10624999998,,,238.14375000001746
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-03-18 16:15:00,67800.0,2024-03-19 16:15:00,64296.0,-0.0526814159292035,96,time_stop,0.00030597,67552.37708333333,,,247.62291666667443
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-03-27 12:00:00,187.37,2024-03-28 12:00:00,184.56,-0.015997064631477875,96,time_stop,0.00032068,185.19947916666666,208.13177083333335,18.46854166666668,2.1705208333333417
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2024-03-28 00:00:00,3506.18,2024-03-29 00:00:00,3556.74,0.013420252240329833,96,time_stop,0.00035332,3446.365,4076.8975,548.9749999999999,59.815000000000055
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-03-28 02:30:00,68980.0,2024-03-29 02:30:00,70637.31,0.023025949550594338,96,time_stop,0.00043631,67823.15,73477.51666666666,4093.6333333333314,1156.8500000000058
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-03-28 16:00:00,185.77,2024-03-29 16:00:00,186.16,0.0010993701889433502,96,time_stop,0.00039989,183.81625000000003,208.20760416666667,20.220208333333318,1.9537499999999852
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2024-03-29 04:00:00,3558.74,2024-03-30 04:00:00,3492.27,-0.019677959052923133,96,time_stop,0.00036879,3489.8500000000004,4076.8975,496.41499999999996,68.88999999999942
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-03-29 20:00:00,188.22,2024-03-30 20:00:00,195.65,0.03847508235044106,96,time_stop,0.00035449,183.81625000000003,208.20760416666667,17.77020833333333,4.403749999999974
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-03-30 20:00:00,69844.01,2024-03-31 20:00:00,71050.5,0.016274065449564,96,time_stop,0.00032267,69881.35416666666,73573.70416666666,3421.9983333333366,-37.344166666662204
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2024-03-31 00:00:00,3511.79,2024-04-01 00:00:00,3636.01,0.03437227453805625,96,time_stop,0.00045204,3555.0775000000003,4076.8975,543.3649999999998,-43.287500000000364
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2024-04-01 04:00:00,3609.76,2024-04-02 04:00:00,3356.94,-0.07103789725632736,96,time_stop,0.00058292,3576.82,4076.8975,445.3949999999995,32.940000000000055
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-04-01 05:30:00,70158.01,2024-04-02 05:30:00,66571.2,-0.05212473971254317,96,time_stop,0.00040301,69881.35416666666,,,276.6558333333378
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-04-01 14:30:00,192.23,2024-04-02 14:30:00,181.81,-0.05520589918327001,96,time_stop,0.00083459,186.03364583333334,208.20760416666667,13.760208333333338,6.1963541666666515
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-04-09 07:30:00,70472.01,2024-04-10 07:30:00,69421.42,-0.01590790457090685,96,time_stop,0.00035189,69793.4625,73608.87083333332,2864.3316666666506,678.5475000000006
vpvr_funding_hvn_lvn_confluence,ETHUSDT,long,2024-11-18 16:00:00,3162.96,2024-11-19 16:00:00,3102.82,-0.020013835141765912,96,time_stop,0.00031651,3152.9791666666665,3403.4583333333335,194.95666666666693,9.980833333333521
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-11-18 20:00:00,90598.18,2024-11-19 20:00:00,93528.79,0.0313473385447699,96,time_stop,0.0003645,90483.725,,,114.4549999999872
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-12-03 13:45:00,218.24,2024-12-04 13:45:00,231.22,0.058475806451612766,96,time_stop,0.00032728,214.40208333333334,262.3564583333333,41.83291666666662,3.837916666666672
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-12-05 02:30:00,235.04,2024-12-06 02:30:00,243.46,0.03482368958475168,96,time_stop,0.00036215,237.68249999999998,,,-2.642499999999984
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-12-05 20:00:00,98583.95,2024-12-06 20:00:00,101666.15,0.03026472412598602,96,time_stop,0.00072446,97162.9,103883.65,4552.949999999997,1421.050000000003
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-12-06 06:30:00,238.26,2024-12-07 06:30:00,235.52,-0.012500041970956,96,time_stop,0.0005091,238.293125,248.83187499999997,8.815416666666636,-0.033125000000012506
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-12-07 10:30:00,238.22,2024-12-08 10:30:00,235.24,-0.013509445050793323,96,time_stop,0.00041557,238.42,263.00124999999997,23.142499999999956,-0.19999999999998863
vpvr_funding_hvn_lvn_confluence,SOLUSDT,long,2024-12-08 14:30:00,236.61,2024-12-09 14:30:00,229.77,-0.029908330163560315,96,time_stop,0.00045069,238.53249999999997,250.13583333333332,10.624999999999943,-1.9224999999999568
vpvr_funding_hvn_lvn_confluence,BTCUSDT,long,2024-12-09 09:15:00,98575.26,2024-12-10 09:15:00,97423.0,-0.01268913985111475,96,time_stop,0.00030413,96790.53333333333,104027.33333333333,4849.006666666668,1784.7266666666692
