symbol,direction,entry_date,entry_price,exit_date,exit_price,reason,pnl_usd,pnl_pct,bars_held
ETHUSDT,long,2024-07-01T00:00:00+00:00,3441.148092,2024-07-04T00:00:00+00:00,3058.698138,stop_loss>=8%,-1856.2048371006902,-0.11114021941953656,3
ETHUSDT,long,2024-07-05T00:00:00+00:00,2981.026086,2024-07-12T00:00:00+00:00,3132.613352,take_profit>=5%,556.5588326497942,0.050850700942172145,7
ETHUSDT,long,2024-07-25T00:00:00+00:00,3174.304734,2024-08-03T00:00:00+00:00,2901.359612,stop_loss>=8%,-667.0645316361853,-0.08598579685071905,9
ETHUSDT,long,2024-08-04T00:00:00+00:00,2688.1375199999998,2024-08-05T00:00:00+00:00,2418.11628,stop_loss>=8%,-702.158234149076,-0.10044919130476615,1
ETHUSDT,long,2024-08-05T00:00:00+00:00,2419.0837199999996,2024-08-08T00:00:00+00:00,2681.053682,take_profit>=5%,658.8756794107596,0.1082930532061126,3
ETHUSDT,long,2024-09-08T00:00:00+00:00,2296.349178,2024-09-13T00:00:00+00:00,2437.66237,take_profit>=5%,480.6445651447608,0.061538198699849556,5
ETHUSDT,long,2024-09-15T00:00:00+00:00,2315.31297,2024-09-19T00:00:00+00:00,2464.067088,take_profit>=5%,563.1905533212944,0.06424795262128202,4
ETHUSDT,long,2024-10-23T00:00:00+00:00,2524.344768,2024-10-30T00:00:00+00:00,2658.828128,take_profit>=5%,476.1795049558603,0.053274561266268394,7
ETHUSDT,long,2024-11-01T00:00:00+00:00,2512.072314,2024-11-06T00:00:00+00:00,2721.945502,take_profit>=5%,766.2263923040055,0.08354583856139741,5
ETHUSDT,long,2025-01-13T00:00:00+00:00,3136.7672279999997,2025-01-15T00:00:00+00:00,3449.1100400000005,take_profit>=5%,703.5888281900534,0.09957474982903025,2
ETHUSDT,long,2025-01-18T00:00:00+00:00,3307.36134,2025-02-01T00:00:00+00:00,3115.596756,max_hold>=14d,-427.78935200382125,-0.05798114094179985,14
ETHUSDT,long,2025-02-01T00:00:00+00:00,3116.8432439999997,2025-02-04T00:00:00+00:00,2729.483994,stop_loss>=8%,-969.036310871651,-0.12427934922478878,3
ETHUSDT,long,2025-02-04T00:00:00+00:00,2730.5760060000002,2025-02-18T00:00:00+00:00,2670.035886,max_hold>=14d,-159.80537119833087,-0.022171190205646396,14
ETHUSDT,long,2025-02-28T00:00:00+00:00,2237.037318,2025-03-02T00:00:00+00:00,2516.616576,take_profit>=5%,872.7993897554913,0.12497746718412128,2
ETHUSDT,long,2025-03-02T00:00:00+00:00,2517.623424,2025-03-03T00:00:00+00:00,2147.790356,stop_loss>=8%,-1024.3911626888935,-0.1468976910821751,1
ETHUSDT,long,2025-03-03T00:00:00+00:00,2148.6496439999996,2025-03-10T00:00:00+00:00,1864.137098,stop_loss>=8%,-918.2619979541319,-0.1324145827098835,7
ETHUSDT,long,2025-03-29T00:00:00+00:00,1827.685464,2025-04-06T00:00:00+00:00,1579.664004,stop_loss>=8%,-957.9144662033113,-0.13570248540314478,8
ETHUSDT,long,2025-04-06T00:00:00+00:00,1580.295996,2025-04-09T00:00:00+00:00,1668.356262,take_profit>=5%,400.9098251356281,0.055723906295336745,3
ETHUSDT,long,2025-04-09T00:00:00+00:00,1669.023738,2025-04-10T00:00:00+00:00,1521.265686,stop_loss>=8%,-551.3254042776831,-0.08852962880986903,1
ETHUSDT,long,2025-04-10T00:00:00+00:00,1521.874314,2025-04-12T00:00:00+00:00,1643.27128,take_profit>=5%,517.4562556266837,0.07976806289668414,2
ETHUSDT,long,2025-06-28T00:00:00+00:00,2435.28696,2025-07-02T00:00:00+00:00,2568.856126,take_profit>=5%,380.94091215559064,0.05484740328096693,4
ETHUSDT,long,2025-09-22T00:00:00+00:00,4197.699371999999,2025-10-02T00:00:00+00:00,4480.80366,take_profit>=5%,608.2087337851092,0.06744272586274214,10
ETHUSDT,long,2025-10-23T00:00:00+00:00,3855.981042,2025-10-26T00:00:00+00:00,4155.538726,take_profit>=5%,481.88637136539063,0.07768650331450466,3
ETHUSDT,long,2025-11-10T00:00:00+00:00,3567.093276,2025-11-13T00:00:00+00:00,3229.4739759999998,stop_loss>=8%,-613.5890386643918,-0.09464829593090807,3
ETHUSDT,long,2025-11-20T00:00:00+00:00,2833.5365939999997,2025-11-26T00:00:00+00:00,3024.414996,take_profit>=5%,488.32185761619036,0.06736401513366164,6
ETHUSDT,long,2025-12-17T00:00:00+00:00,2832.5664,2025-12-19T00:00:00+00:00,2977.734334,take_profit>=5%,347.1808050934933,0.051249613777809344,2
ETHUSDT,long,2026-01-20T00:00:00+00:00,2938.8276479999995,2026-01-31T00:00:00+00:00,2449.889924,stop_loss>=8%,-1661.860040295058,-0.16637169053882517,11
ETHUSDT,long,2026-01-31T00:00:00+00:00,2450.870076,2026-02-03T00:00:00+00:00,2231.783554,stop_loss>=8%,-567.1565911264611,-0.08939132438940434,3
ETHUSDT,long,2026-02-03T00:00:00+00:00,2232.676446,2026-02-05T00:00:00+00:00,1824.58501,stop_loss>=8%,-1009.3079162456835,-0.182781269866095,2
ETHUSDT,long,2026-02-05T00:00:00+00:00,1825.31499,2026-02-06T00:00:00+00:00,2062.127492,take_profit>=5%,659.3792983183497,0.12973788266539144,1
ETHUSDT,long,2026-02-21T00:00:00+00:00,1972.9345079999998,2026-03-04T00:00:00+00:00,2125.554804,take_profit>=5%,389.1170479866973,0.07735700064099649,11
ETHUSDT,long,2026-05-07T00:00:00+00:00,2290.3679819999998,2026-05-21T00:00:00+00:00,2132.3534440000003,max_hold>=14d,-920.4327012573676,-0.06899089545515635,14
ETHUSDT,long,2026-05-21T00:00:00+00:00,2133.206556,2026-06-02T00:00:00+00:00,1858.5882080000001,stop_loss>=8%,-1863.1414246940453,-0.12873500094380919,12
ETHUSDT,long,2026-06-02T00:00:00+00:00,1859.331792,2026-06-05T00:00:00+00:00,1582.03353,stop_loss>=8%,-2189.5096170608654,-0.14913866540286647,3
ETHUSDT,long,2026-06-05T00:00:00+00:00,1582.66647,2026-06-07T00:00:00+00:00,1689.3220680000002,take_profit>=5%,650.0200945690544,0.06738981334456429,2
ETHUSDT,long,2026-06-13T00:00:00+00:00,1680.7460820000001,2026-06-15T00:00:00+00:00,1794.800968,take_profit>=5%,527.994933917827,0.06785967685510275,2
